5.784185762454008284e+00,2.507587281125584155e+00,2.115097522363099003e+00
6.309304017578438284e+00,2.775453586816908125e+00,2.329039122245405213e+00
6.870266944437643630e+00,3.053785744795676660e+00,2.557180920876912289e+00
7.476470420275530770e+00,3.366048700618001988e+00,2.831918754536719707e+00
8.142516912523424466e+00,3.711031777902621620e+00,3.107523242275580078e+00
8.882854947357634146e+00,4.078554634995160022e+00,3.412958841436767088e+00
9.293140845251889104e+00,4.284626365544598414e+00,3.579999089935745893e+00
1.015591284038982423e+01,4.707722054582899496e+00,3.928420612809073731e+00
1.108002931451916062e+01,5.173436587528358999e+00,4.322081308291389590e+00
1.210013890999933572e+01,5.697926608573234297e+00,4.739441280553163161e+00
1.321425549269991961e+01,6.260739598412393470e+00,5.199484702219176135e+00
1.512038622624482187e+01,7.180034367381329830e+00,5.965678320253003264e+00
1.656615692300701426e+01,7.880327335040226977e+00,6.544110894126717426e+00
1.813499067149155053e+01,8.668966475105404967e+00,7.161591127876121732e+00
1.984010523750324495e+01,9.550634153028910944e+00,7.840498106111026821e+00
2.171011517982906724e+01,1.052899752644117548e+01,8.572888808722185061e+00
2.375238294547444440e+01,1.161974882169394618e+01,9.392971507093040628e+00
2.484715887081097918e+01,1.222872220458308412e+01,9.844774669068797834e+00
2.723099933729739419e+01,1.363665723463300239e+01,1.087909193354056647e+01
2.983370713394475615e+01,1.521013167076262818e+01,1.203983777322547155e+01
3.266467928129121390e+01,1.690285015718021810e+01,1.330240897336425299e+01
3.577862916695150375e+01,1.875849829639647481e+01,1.471147258582148609e+01
3.914617829360825851e+01,2.069959998894671216e+01,1.619229337242196820e+01
4.276146076201656854e+01,2.280093915561818818e+01,1.778781768348371628e+01
4.664356728441896394e+01,2.506113876706113786e+01,1.950620959925559461e+01
5.090966476071027103e+01,2.753688798139241811e+01,2.140120977114433032e+01
5.556186993537687613e+01,3.022569272341043245e+01,2.343994720725484981e+01
6.074813471480285898e+01,3.320965063997004307e+01,2.564417885130128383e+01
6.641914120799768284e+01,3.650535059508054303e+01,2.802806992772943318e+01
7.262568785385467152e+01,4.027080367860675381e+01,3.077881871330269092e+01
7.944259089287551490e+01,4.447547931675332933e+01,3.390142443028277341e+01
8.694111305962552194e+01,4.911707368971451615e+01,3.746367259119569582e+01
9.520802184421486913e+01,5.422817200938238358e+01,4.140114749211677037e+01
1.042895859693682610e+02,5.970927676670370232e+01,4.559729947657610438e+01
1.140615576346366993e+02,6.577465369816376040e+01,5.025483541038666857e+01
1.246502205651799926e+02,7.230082570275884279e+01,5.530142653294500121e+01
1.361546327625777622e+02,7.920027082157756126e+01,6.071220497093895574e+01
1.487721597640393156e+02,8.664207216198953176e+01,6.660403286109416854e+01
1.627711883473743342e+02,9.476433319094989827e+01,7.319868487739677221e+01
1.779162781925350316e+02,1.034210785572049787e+02,8.030083006654339783e+01
1.149991974234580994e+02,1.149991974234580994e+02,1.149991974234580994e+02
