a12,b12,c12,a25,b25,c25,a50,b50,c50,a1,b1,c1,aDisk,bDisk,cDisk
10.90251188725233,10.779642014375165,9.2709254234343,21.80502377450466,21.13747717399599,19.225808991131736,43.61004754900932,38.643947075115065,35.63194308163802,87.22009509801865,80.21404993458415,70.45221208622407,39.48630392551422,35.75708468789419,32.96232887026319
14.532121829688549,14.275911062449753,11.842052134608782,29.064243659377098,28.77456363131554,24.041528174831523,58.128487318754196,54.278259096723744,47.76651746628079,116.25697463750839,108.04531813437794,94.34764431261318,96.12545371055603,88.92453222988364,78.27114615034287
14.015775173902512,13.78331960849683,11.908388975880525,28.031550347805023,27.462235657766783,25.090054649151767,56.063100695610046,53.85005039422636,51.68466691232143,112.12620139122009,104.7229584181563,101.1065657915731,31.123977154493332,30.452488727715778,27.948584162115502
13.607846572995186,12.661898228183597,12.570269657881923,27.21569314599037,25.38196483606557,24.486543249647152,54.43138629198074,51.129291940169324,48.497643503659944,108.86277258396149,102.02395174991544,97.8928786906562,64.9203285574913,61.84837052491807,59.021389932444364
12.896716594696045,12.592551994637159,12.048863833118302,25.79343318939209,24.88473601248057,23.833901353113365,51.58686637878418,50.64195069937364,47.647188753003654,103.17373275756836,99.51951289627189,94.49668328707763,55.16534671187401,54.37001928677695,50.84117123724965
12.228376232087612,12.053211752177,10.13680577599649,24.456752464175224,23.60816560770728,20.88795570669526,48.91350492835045,45.14588545468356,41.0872443317956,97.8270098567009,84.5889794769159,76.32285629553947,42.29750484228134,39.232488864329724,35.90054707851389
12.536142952740192,12.4083144562192,10.900337371219381,25.072285905480385,24.554509983084422,21.953934267247945,50.14457181096077,50.066533017471485,44.337011896953996,100.28914362192154,97.18573241250544,84.69152872468119,49.88501965999603,49.81270034073681,44.135804267837464
12.394193559885025,12.237762432362638,10.380477513587792,24.78838711977005,22.950385716226602,21.165080803985866,49.5767742395401,40.61887814650494,37.270456133848484,99.1535484790802,92.30378002876033,78.31672671940714,38.16722705960274,29.63840450444764,27.68274662280442
12.557150796055794,12.248329739282042,11.2707464718907,25.114301592111588,24.141877171352927,22.170182290557037,50.228603184223175,49.235006456832274,47.06101546606464,100.45720636844635,96.64101194620616,93.77166669794232,61.9235597550869,60.750813767524654,58.28351498743953
12.25678063929081,12.01365164126797,11.577760557379976,24.51356127858162,23.948249693413953,23.305088543560423,49.02712255716324,46.69470191101639,44.78120505174122,98.05424511432648,91.64881819209755,85.94934617064543,53.12854424118996,50.56879451686146,47.88330190073896
14.240054413676262,11.987766052944565,11.147370847436125,28.480108827352524,25.365202257230155,23.88518285581229,56.96021765470505,48.31675025085265,46.7592047644752,113.9204353094101,94.17345565101057,91.75388397663998,62.89570778608322,52.982212795748694,51.43999571984654
12.749621644616127,12.159779510132166,12.01030358415796,25.499243289232254,25.38303659875483,23.58064369750461,50.99848657846451,50.333633252862455,46.63667038274544,101.99697315692902,99.73032477738556,89.00173023234358,41.038282215595245,40.840654029111874,38.022793738401504
12.523636221885681,12.370832484842541,11.7477641162615,25.047272443771362,24.313944935161775,22.525752458762724,50.094544887542725,47.62358003095677,42.56747069163884,100.18908977508545,87.39630236233221,75.20603456782752,89.34607356786728,78.04818534965327,67.90697811786711
14.619390480220318,14.188425894001558,13.603597782345249,29.238780960440636,28.53066692638428,26.394137675653322,58.47756192088127,56.305458581667665,52.01340628605937,116.95512384176254,104.91883947852864,100.95895167495767,47.23748937249184,46.60384001584773,42.62283434391441
12.8104193136096,12.684086479597408,11.78038069255407,25.6208386272192,24.843397165075412,23.896560265230278,51.2416772544384,46.55719884197206,43.42758462103675,102.4833545088768,96.68122501031499,88.18972700673378,33.659014850854874,31.631226528356404,29.750671435435102
13.762922957539558,13.715506067771935,12.07373168381249,27.525845915079117,27.39152390148627,24.98790988694647,55.051691830158234,54.832162176166364,50.01191001989791,110.10338366031647,104.521470629197,95.08827176716109,32.07066282629967,31.788477579486873,29.620747000593386
12.48878426849842,12.357439432846991,11.712137044859789,24.97756853699684,24.27731855196176,23.187747943163256,49.95513707399368,49.24979810030005,45.715394772807706,99.91027414798737,94.9335845901166,92.09458604057754,48.34896698594093,47.639487670894454,44.161437794010666
13.039665296673775,12.637852132414086,11.780090023624345,26.07933059334755,24.14097885588908,22.806009172595367,52.1586611866951,44.87482242080934,43.16922988944996,104.3173223733902,85.60070657805855,81.47746438737937,100.67857801914215,81.92617565091126,78.17212089662335
13.059373013675213,12.656209303213052,10.965128601881634,26.118746027350426,24.689222532689037,22.018949183910884,52.23749205470085,48.33382726489675,45.23489765678797,104.4749841094017,94.36622681277436,87.64754423783221,47.08513990044594,44.35806098583102,40.985593260612305
13.067166320979595,12.763854410557522,11.059808966123668,26.13433264195919,25.496309455630623,23.713166918226282,52.26866528391838,51.35332732148475,49.17484326491906,104.53733056783676,88.4805098481509,87.30291949019987,40.43950513005257,39.42607838919352,37.78246764363304
13.766082003712654,13.74074448859,13.244599647736253,27.53216400742531,26.85388746952891,25.977543752462438,55.06432801485062,53.34304985660796,50.60350287125145,110.12865602970123,101.91678519414032,93.69496878672027,58.10020491480827,56.514841116943664,53.608136709584805
12.020496651530266,11.76194908885358,11.354418508730443,24.04099330306053,23.360730468761425,22.408143205003352,48.08198660612106,47.18168144567261,46.504814959563014,96.16397321224213,95.63072016253597,90.83085879710876,77.61485874652863,76.27211337600353,72.38567992545131
14.223597943782806,14.119312748263928,12.064684695765685,28.447195887565613,27.803375490746415,24.430542422657428,56.894391775131226,55.057524132327494,50.16299019439391,113.78878355026245,109.61214577503199,98.71583790043356,67.25693494081497,66.01105026268841,59.468088986135655
13.828999362885952,13.786891777944337,11.582638607838117,27.657998725771904,27.542957245945455,23.717978883518853,55.31599745154381,53.857930367800414,47.90452632847749,110.63199490308762,104.05491194688221,94.57482598085763,73.53099435567856,72.76760793870966,63.743097618457035
12.746130116283894,12.52155204051625,11.495410203688985,25.492260232567787,20.640068675587884,20.491194842404752,50.984520465135574,42.81767435209244,40.889925905522134,101.96904093027115,88.45955520927954,85.37084267680567,47.34143242239952,39.50464660113725,37.628553583226314
14.332598075270653,14.181836460099193,12.74191481528839,28.665196150541306,28.296342133738765,24.432543736712876,57.33039230108261,56.56029637100029,47.20353335111934,114.66078460216522,111.08457243777931,93.45517158315573,81.31517469882965,80.74194653497895,68.12553910752885
14.717299491167068,14.619268165508487,13.424887804063658,29.434598982334137,29.006733777019658,27.194663440628304,58.869197964668274,57.80364187783172,53.87603393431873,117.73839592933655,113.1174519192563,101.47805333695264,92.61464327573776,88.795980686258,80.52146728335849
14.430174604058266,13.92495329353248,13.044709586978016,28.86034920811653,26.988510489738747,25.199844943793032,57.72069841623306,52.54646365994526,49.811549225781796,115.44139683246613,109.81660282743302,97.89703077775273,80.73465526103973,76.08490878321408,71.71792235740666
14.262879267334938,13.603152135321945,12.282279660089756,28.525758534669876,26.830018162348495,23.746506679651947,57.05151706933975,53.29795793846235,48.8483082192955,114.1030341386795,102.35864329821622,94.47644377547951,90.05248546600342,78.47270797604665,74.10005849021252
12.746136635541916,9.946094997303506,8.945239937740034,25.492273271083832,22.46967631398993,19.898012549143612,50.984546542167664,47.66974153382803,41.6760484410072,101.96909308433533,98.86738954916156,87.43273106971515,54.68818545341492,51.523096165305745,44.82140105631305
