a12,b12,c12,a25,b25,c25,a50,b50,c50,a1,b1,c1,aDisk,bDisk,cDisk
10.90251188725233,10.848881414601683,9.505897869479286,21.80502377450466,21.379415360253404,19.721247043916662,43.61004754900932,42.3609751476512,39.9217068588343,87.22009509801865,81.94626994693793,71.53356535197615,39.48630392551422,38.25983366557729,35.988505471042394
14.532121829688549,14.423008015376388,12.499128313875538,29.064243659377098,28.76082282400375,24.176958257519168,58.128487318754196,57.452191283977676,50.62627626062673,116.25697463750839,108.25445118045903,93.72011309416492,96.12545371055603,92.01919184059473,80.32205286826252
14.015775173902512,13.82948194283798,12.284948808433148,28.031550347805023,27.51276427972776,25.13117570130572,56.063100695610046,54.04267537850695,51.84802854391625,112.12620139122009,106.59695036742332,103.43015479878362,31.123977154493332,30.541262973206347,28.09487501839548
13.607846572995186,12.834608103635633,12.775457207663877,27.21569314599037,25.868748925302064,25.186372067588874,54.43138629198074,51.36717114412985,49.093456987348354,108.86277258396149,105.01605933529329,102.19239632377604,64.9203285574913,62.389085066918774,59.991596601140614
12.896716594696045,12.671560838741762,12.124500373118137,25.79343318939209,25.076286010945584,24.180453452579766,51.58686637878418,50.41996793453901,47.99345307007765,103.17373275756836,99.19588149354219,94.04270336011126,55.16534671187401,54.23163540184658,51.233431235878
12.228376232087612,12.129405835708345,10.625808993392658,24.456752464175224,23.906387271316976,21.117767442755753,48.91350492835045,45.919772492658765,41.5628267695099,97.8270098567009,84.29963991644149,69.37307766631255,42.29750484228134,39.83012939740158,36.20607802970049
12.536142952740192,12.420022949018941,11.184021973177371,25.072285905480385,24.645996069721832,22.45939512422981,50.14457181096077,49.70511869539184,44.57026654862368,100.28914362192154,97.72449313339715,86.65043553606654,49.88501965999603,49.42935183056289,44.33763641584664
12.394193559885025,12.322623162566133,10.860148398723855,24.78838711977005,24.038701905539988,22.198029205774578,49.5767742395401,45.36926641858765,42.20847138841907,99.1535484790802,88.97290249582903,61.28012635010571,38.16722705960274,35.84264183095874,33.39801532145152
12.557150796055794,12.36837648216529,11.535552513582532,25.114301592111588,24.359645193390385,22.522067998795812,50.228603184223175,49.163873098984844,46.84879504320521,100.45720636844635,97.7574859065979,96.44280381527918,61.9235597550869,60.585693207947735,58.084994834869725
12.25678063929081,12.040836118302183,11.726257913894178,24.51356127858162,23.924513354103297,23.34701847853029,49.02712255716324,47.78945989954287,45.46552221373093,98.05424511432648,90.61877312919663,84.3839266131414,53.12854424118996,51.5704239129923,48.52804155469275
14.240054413676262,12.319305290667735,11.49778709262323,28.480108827352524,24.71807315444379,23.268158719191415,56.96021765470505,48.20048803387273,46.74161492461893,113.9204353094101,83.35637666472286,74.70620368186559,62.89570778608322,52.95050185714027,51.92177438324613
12.749621644616127,12.201038513619249,12.09769692844004,25.499243289232254,25.00624800790987,23.8550565104114,50.99848657846451,50.79727752796472,46.96422416205077,101.99697315692902,99.02176212245449,89.22064373832997,41.038282215595245,40.86762139274335,37.88984660065069
12.523636221885681,12.43743869699646,11.967729367553,25.047272443771362,24.6394426671172,23.128877843925103,50.094544887542725,49.038252540694714,44.40093315444577,100.18908977508545,95.15531546046127,80.32379685953333,89.34607356786728,86.51949747947656,75.59934900959274
14.619390480220318,14.288915000432329,13.75413412892086,29.238780960440636,28.593069430141252,27.02838456915411,58.47756192088127,56.875697908122135,52.825321154708,116.95512384176254,108.35530620825068,99.83353027686906,47.23748937249184,46.5328263485159,43.20021874318921
12.8104193136096,12.75596935188835,11.86479030338491,25.6208386272192,24.92080049137828,24.060728546223324,51.2416772544384,49.743692985185604,47.03344139482526,102.4833545088768,92.98626371918323,80.95198146253534,33.659014850854874,32.70251274624064,31.091463116134
13.762922957539558,13.695793451935806,12.373768958276345,27.525845915079117,27.428649441412034,25.244620688801916,55.051691830158234,54.36035058236628,49.766379451514766,110.10338366031647,105.0555475937548,96.136883697841,32.07066282629967,31.896431930278204,29.691852356639277
12.48878426849842,12.436853470729767,11.884041625237385,24.97756853699684,24.315985415289084,23.2565100527618,49.95513707399368,49.09586531533228,45.822522675577844,99.91027414798737,94.60466994986349,91.79583019815524,48.34896698594093,47.45081900713619,44.29730175187981
13.039665296673775,12.800310117432423,11.997878328836114,26.07933059334755,24.859071911849103,23.415055855042006,52.1586611866951,46.75623582762297,45.074219506651225,104.3173223733902,94.77389808102079,91.7915204181344,100.67857801914215,91.44805804277877,88.67852697667121
13.059373013675213,12.815532986519402,11.432277711097193,26.118746027350426,25.0147066099958,22.325607747712333,52.23749205470085,49.269730669433564,45.40598277930947,104.4749841094017,92.78004844886962,86.80727338329591,47.08513990044594,45.04678269077013,41.269889208013495
